code,ex_date,cash,bonus
000006,2020-03-31,0.3994,0.2000
000006,2020-06-30,0.2792,0.0000
000006,2020-09-30,0.4517,0.0000
000006,2020-12-31,0.2175,0.1000
000006,2021-03-31,0.4701,0.0000
000006,2021-06-30,0.0584,0.0000
000006,2021-09-30,0.4055,0.0000
000006,2021-12-31,0.4333,0.0000
000006,2022-03-31,0.0647,0.0000
000006,2022-06-30,0.4278,0.0000
000006,2022-09-30,0.4417,0.0000
000006,2023-01-02,0.4299,0.0000
000006,2023-03-31,0.0748,0.0000
000006,2023-06-30,0.0782,0.0000
000006,2023-10-02,0.3946,0.0000
000006,2024-01-01,0.4473,0.0000
000006,2024-04-01,0.3290,0.0000
000006,2024-07-01,0.3578,0.0000
000006,2024-09-30,0.2200,0.2000
000006,2024-12-31,0.1419,0.0000
000010,2020-03-31,0.4479,0.0000
000010,2020-06-30,0.3711,0.1000
000010,2020-09-30,0.1057,0.2000
000010,2020-12-31,0.0849,0.1000
000010,2021-03-31,0.4245,0.0000
000010,2021-06-30,0.2413,0.0000
000010,2021-09-30,0.0895,0.0000
000010,2021-12-31,0.0737,0.0000
000010,2022-03-31,0.1778,0.0000
000010,2022-06-30,0.4210,0.0000
000010,2022-09-30,0.1264,0.0000
000010,2023-01-02,0.1703,0.0000
000010,2023-03-31,0.4864,0.0000
000010,2023-06-30,0.1218,0.2000
000010,2023-10-02,0.4844,0.1000
000010,2024-01-01,0.4195,0.1000
000010,2024-04-01,0.3484,0.1000
000010,2024-07-01,0.1184,0.0000
000010,2024-09-30,0.1699,0.0000
000010,2024-12-31,0.0995,0.0000
000014,2020-03-31,0.3844,0.0000
000014,2020-06-30,0.1498,0.0000
000014,2020-09-30,0.0665,0.0000
000014,2020-12-31,0.0591,0.1000
000014,2021-03-31,0.3179,0.0000
000014,2021-06-30,0.2760,0.1000
000014,2021-09-30,0.2466,0.0000
000014,2021-12-31,0.2546,0.0000
000014,2022-03-31,0.1479,0.0000
000014,2022-06-30,0.3987,0.2000
000014,2022-09-30,0.1153,0.2000
000014,2023-01-02,0.3477,0.1000
000014,2023-03-31,0.3312,0.1000
000014,2023-06-30,0.3317,0.0000
000014,2023-10-02,0.2894,0.1000
000014,2024-01-01,0.0720,0.0000
000014,2024-04-01,0.4699,0.0000
000014,2024-07-01,0.2146,0.0000
000014,2024-09-30,0.2418,0.1000
000014,2024-12-31,0.1763,0.1000
000015,2020-03-31,0.3344,0.0000
000015,2020-06-30,0.1784,0.0000
000015,2020-09-30,0.4604,0.0000
000015,2020-12-31,0.4601,0.0000
000015,2021-03-31,0.4833,0.0000
000015,2021-06-30,0.2510,0.0000
000015,2021-09-30,0.0994,0.0000
000015,2021-12-31,0.1320,0.1000
000015,2022-03-31,0.0745,0.0000
000015,2022-06-30,0.2704,0.0000
000015,2022-09-30,0.0673,0.0000
000015,2023-01-02,0.3259,0.0000
000015,2023-03-31,0.2572,0.0000
000015,2023-06-30,0.4921,0.1000
000015,2023-10-02,0.4695,0.0000
000015,2024-01-01,0.1455,0.0000
000015,2024-04-01,0.3877,0.1000
000015,2024-07-01,0.2084,0.2000
000015,2024-09-30,0.2395,0.0000
000015,2024-12-31,0.3813,0.2000
000016,2020-03-31,0.3756,0.1000
000016,2020-06-30,0.2193,0.0000
000016,2020-09-30,0.4208,0.2000
000016,2020-12-31,0.2527,0.0000
000016,2021-03-31,0.1964,0.1000
000016,2021-06-30,0.4102,0.0000
000016,2021-09-30,0.3554,0.0000
000016,2021-12-31,0.3865,0.0000
000016,2022-03-31,0.1923,0.1000
000016,2022-06-30,0.3283,0.0000
000016,2022-09-30,0.3264,0.0000
000016,2023-01-02,0.1988,0.1000
000016,2023-03-31,0.4778,0.1000
000016,2023-06-30,0.2586,0.1000
000016,2023-10-02,0.1449,0.0000
000016,2024-01-01,0.3651,0.0000
000016,2024-04-01,0.1531,0.0000
