code,industry,shares,bvps,roe_base,list_date,delist_date
000001,银行,594232018.1395,4.8870,0.1143,2020-01-02,
000002,银行,274712511.7427,5.8591,0.2253,2020-01-02,
000003,银行,722100955.9127,3.5037,0.2006,2020-01-02,
000004,银行,498159055.2238,1.7195,0.0799,2020-01-02,
000005,银行,124215945.0534,1.0697,0.2395,2020-01-02,
000006,银行,1497536887.8646,2.1483,0.2183,2020-01-02,
000007,银行,576952025.0036,1.6591,0.1111,2020-01-02,
000008,银行,611032492.7942,4.3883,0.2106,2020-01-02,
000009,银行,134311634.0086,1.6092,0.0792,2020-01-02,
000010,银行,654201982.3506,3.5316,0.2398,2020-01-02,
000011,银行,234854033.9649,4.4713,0.1798,2020-01-02,
000012,银行,844821560.4731,3.9056,0.1770,2020-01-02,
000013,银行,440418060.5296,1.9989,0.0763,2020-01-02,
000014,银行,1865833565.0822,5.0206,0.2215,2020-01-02,
000015,银行,532052816.3306,4.5770,0.0652,2020-01-02,
000016,银行,358736923.0356,4.6949,0.1033,2020-01-02,
000017,银行,824720102.5776,1.6553,0.0857,2020-01-02,
000018,银行,115828986.4485,1.6188,0.1998,2020-01-02,
000019,银行,672405368.1813,5.6378,0.0957,2020-01-02,
000020,银行,428217487.6280,2.9879,0.2239,2020-01-02,
000021,银行,572911764.0927,2.5047,0.1781,2020-01-02,
000022,银行,226217379.9758,3.4429,0.0665,2020-01-02,
000023,银行,934755489.7106,4.3143,0.0610,2020-01-02,
000024,银行,781845824.8486,5.7781,0.0693,2020-01-02,
000025,银行,600320946.4682,2.4322,0.1691,2020-01-02,
000026,非银金融,156544822.2625,5.6240,0.2043,2020-01-02,
000027,非银金融,292901100.6979,1.1243,0.1029,2020-01-02,
000028,非银金融,443275187.1308,3.7760,0.2129,2020-01-02,
000029,非银金融,142655819.2072,4.1699,0.0703,2020-01-02,
000030,非银金融,923824553.5573,1.5295,0.2042,2020-01-02,
000031,非银金融,555599896.1736,1.7017,0.2270,2020-01-02,
000032,非银金融,927918284.3185,3.0956,0.1990,2020-01-02,
000033,非银金融,446435365.3403,5.8312,0.1857,2020-01-02,
000034,非银金融,234671152.4025,3.9802,0.2108,2020-01-02,
000035,非银金融,294819232.5083,5.6651,0.0672,2020-01-02,
000036,非银金融,430505320.3674,5.0218,0.0963,2020-01-02,
000037,非银金融,236959154.7473,3.3369,0.0825,2020-01-02,
000038,非银金融,299023228.5346,4.9238,0.1508,2020-01-02,
000039,非银金融,328592877.2124,1.0892,0.1941,2020-01-02,
000040,非银金融,467534856.4604,1.5457,0.1734,2020-01-02,
000041,非银金融,484739075.0508,5.1471,0.2132,2020-01-02,
000042,非银金融,680265108.4037,4.9841,0.0879,2020-01-02,
000043,非银金融,969191895.4629,2.1632,0.1922,2020-01-02,
000044,非银金融,205289454.8224,3.6538,0.0947,2020-01-02,
000045,非银金融,897085284.2824,4.0301,0.1087,2020-01-02,
000046,非银金融,1775299053.0977,5.3387,0.1878,2020-01-02,
000047,非银金融,244049756.6987,4.0155,0.2364,2020-01-02,
000048,非银金融,406122650.9759,3.0629,0.1701,2020-01-02,
000049,非银金融,1006525106.8386,2.8709,0.0698,2020-01-02,
000050,非银金融,137959776.9723,3.1294,0.1709,2020-01-02,
000051,医药生物,158455822.6434,4.2597,0.0676,2020-01-02,
000052,医药生物,101709675.7419,5.3375,0.2191,2020-01-02,
000053,医药生物,612243774.1262,3.2695,0.1877,2020-01-02,
000054,医药生物,738261393.5180,2.2392,0.0912,2020-01-02,
000055,医药生物,980189510.1995,2.1833,0.0765,2020-01-02,
000056,医药生物,1060427587.8136,4.7301,0.0930,2020-01-02,
000057,医药生物,287684044.3487,5.0828,0.2364,2020-01-02,
000058,医药生物,370459892.1466,1.5264,0.1425,2020-01-02,
000059,医药生物,137973918.3626,1.3328,0.2011,2020-01-02,
000060,医药生物,130175745.5095,3.9722,0.1746,2020-01-02,
000061,医药生物,466018289.8310,1.7309,0.1630,2020-01-02,
000062,医药生物,295866780.6431,5.1233,0.0861,2020-01-02,
000063,医药生物,489118581.5854,2.5517,0.2303,2020-01-02,
000064,医药生物,1606578301.5367,1.7194,0.1142,2020-01-02,
000065,医药生物,431239287.6787,5.6049,0.1640,2020-01-02,
